GADM_COUNTRY_SELECT_VALUE,GADM_COUNTRY_SELECT_NAME
TJK_Tajikistan_4,Tajikistan
TZA_Tanzania_4,Tanzania
THA_Thailand_4,Thailand
TGO_Togo_4,Togo
TKL_Tokelau_2,Tokelau
TON_Tonga_3,Tonga
TTO_Trinidad and Tobago_2,Trinidad and Tobago
TUN_Tunisia_3,Tunisia
TUR_Turkey_3,Turkey
TKM_Turkmenistan_3,Turkmenistan
TUV_Tuvalu_2,Tuvalu
UGA_Uganda_5,Uganda
UKR_Ukraine_3,Ukraine
ARE_United Arab Emirates_4,United Arab Emirates
GBR_United Kingdom_5,United Kingdom
USA_United States_4,United States
URY_Uruguay_3,Uruguay
UZB_Uzbekistan_3,Uzbekistan
VUT_Vanuatu_3,Vanuatu
VAT_Vatican City_1,Vatican City
VEN_Venezuela_3,Venezuela
VNM_Vietnam_4,Vietnam
ESH_Western Sahara_2,Western Sahara
YEM_Yemen_3,Yemen
ZMB_Zambia_3,Zambia
ZWE_Zimbabwe_3,Zimbabwe
