JM,Jamaica,A,JMDEH01
JM,Jamaica,A,JMDCN02
JM,Jamaica,B,JMDEH02
JM,Jamaica,B,JMACE04
JM,Jamaica,C,JMCAN07
JM,Jamaica,C,JMDMR03
JM,Jamaica,D,JMAAW05
JM,Jamaica,D,JMDMR08
JM,Jamaica,E,JMDEH06
JM,Jamaica,E,JMCAN11
JM,Jamaica,F,JMBPD05
JM,Jamaica,F,JMBMY11
JM,Jamaica,G,JMBMY12
JM,Jamaica,G,JMDCN12
JM,Jamaica,H,JMBTS05
JM,Jamaica,H,JMDMR12
JM,Jamaica,I,JMCAN13
JM,Jamaica,I,JMBMY16
JM,Jamaica,J,JMCTY09
JM,Jamaica,J,JMCJS08
JM,Jamaica,K,JMCAN14
JM,Jamaica,K,JMAKN01
JM,Jamaica,L,JMBMY17
JM,Jamaica,L,JMBTS06
JM,Jamaica,M,JMDEH11
JM,Jamaica,M,JMDCN19
JM,Jamaica,N,JMDEH17
JM,Jamaica,N,JMDEH18
JM,Jamaica,O,JMCAN19
JM,Jamaica,O,JMBMY20
JM,Jamaica,P,JMACE20
JM,Jamaica,P,JMBMY22
JM,Jamaica,R,JMDCN21
JM,Jamaica,R,JMDCN22
JM,Jamaica,S,JMCAN21
JM,Jamaica,S,JMBPD19
JM,Jamaica,T,JMDCN26
JM,Jamaica,T,JMBTS13
JM,Jamaica,U,JMCTY16
JM,Jamaica,U,JMBMY26
JM,Jamaica,W,JMCTY17
JM,Jamaica,W,JMCJS22
JM,Jamaica,Y,JMBTS16
